before,after
ユーチューブ,YouTube
ツイッター,Twitter
インスタグラム,Instagram
ティックトック,TikTok
グーグル,Google
アマゾン,Amazon
チャットGPT,ChatGPT
チャットジーピーティー,ChatGPT
ウィスパー,Whisper
エフエフエムペグ,FFmpeg
パイソン,Python
